,0,1,2,3
R.Ring_M_s_x,93.09369201659999,88.90511016848,89.04282531736,89.090082168575
R.Ring_M_s_y,265.8808013916,294.7537048342,295.011315918,295.51510620125003
R.Ring_M_s_z,-4.947970199560001,-31.62590446472,-30.403592300419994,-29.5697698593
R.Ring_M_e_x,62.50598831175999,55.41337661744001,55.489920806879994,55.368436813375006
R.Ring_M_e_y,290.77491455079996,312.53652954079996,312.71822509759994,314.33715057375
R.Ring_M_e_z,-40.050556945820006,-73.18263397216,-71.94325103758001,-70.475679397575
R.Ring_M_d_x,0.5437094271186,0.5953297734262001,0.5964171051977999,0.59941650927075
R.Ring_M_d_y,-0.442503428459,-0.3160972595214,-0.3147478282452,-0.33456981182075
R.Ring_M_d_z,0.6239634007216,0.7386884927752,0.7383850574494,0.7271198779345001
R.Ring_P_s_x,62.50598831175999,55.41337661744001,55.489920806879994,55.368436813375006
R.Ring_P_s_y,290.77491455079996,312.53652954079996,312.71822509759994,314.33715057375
R.Ring_P_s_z,-40.050556945820006,-73.18263397216,-71.94325103758001,-70.475679397575
R.Ring_P_e_x,34.184365463259994,22.73415145872,22.301805496220002,21.74510145185
R.Ring_P_e_y,311.43536376960003,329.67487182599996,328.8772338868,329.44084167475
R.Ring_P_e_z,-34.5723976135,-63.72346954346,-62.54218139648,-60.862936973575
R.Ring_P_d_x,0.743464541435,0.857854950428,0.8712138295174,0.8826385587454999
R.Ring_P_d_y,-0.5423528194425999,-0.4498947441578,-0.42418652772899995,-0.39648357033725
R.Ring_P_d_z,-0.1438059270382,-0.24831038415440002,-0.2467853814364,-0.25234191492175
R.Ring_I_s_x,34.184365463259994,22.73415145872,22.301805496220002,21.74510145185
R.Ring_I_s_y,311.43536376960003,329.67487182599996,328.8772338868,329.44084167475
R.Ring_I_s_z,-34.5723976135,-63.72346954346,-62.54218139648,-60.862936973575
R.Ring_I_e_x,33.69976158144,23.72094726562,23.03495330812,22.113103866574995
R.Ring_I_e_y,314.2160705568,328.11903076159996,326.87423095699995,326.3880081175
R.Ring_I_e_z,-17.14743041992,-40.17680206298,-39.021398162859995,-37.44732666015
R.Ring_I_d_x,0.02051760777834,-0.04177991822362,-0.031040723249340003,-0.015580842038600001
R.Ring_I_d_y,-0.11773219257595999,0.06587270945312,0.08480508178474,0.1292538214475
R.Ring_I_d_z,-0.7377552211286,-0.9969416737555999,-0.9958457469940001,-0.9913927614687501
R.Ring_D_s_x,33.69976158144,23.72094726562,23.03495330812,22.113103866574995
R.Ring_D_s_y,314.2160705568,328.11903076159996,326.87423095699995,326.3880081175
R.Ring_D_s_z,-17.14743041992,-40.17680206298,-39.021398162859995,-37.44732666015
R.Ring_D_e_x,40.143621063240005,32.953269195560004,32.251702880879996,31.244221687325
R.Ring_D_e_y,312.56038208,322.6479125976,321.3884155274,320.53382873550004
R.Ring_D_e_z,-8.699925994879997,-28.404285430919998,-27.24337310788,-25.781299591074998
R.Ring_D_d_x,-0.4045083880422,-0.5795521855354,-0.5785746693612001,-0.5731992721557501
R.Ring_D_d_y,0.10393445491799999,0.34344540834420006,0.3443680226802,0.36749185621725006
R.Ring_D_d_z,-0.530285704136,-0.7390110373495999,-0.7393568396567999,-0.73232637345775
R.Pinky_M_s_x,83.95055389406,80.38298187254,80.73784790037999,80.99271583557501
R.Pinky_M_s_y,257.61519775380003,285.60109252940003,285.59388427720006,285.80932617175
R.Pinky_M_s_z,-3.5497844695999996,-28.98341331482,-28.0194541931,-27.6758027077
R.Pinky_M_e_x,54.818825531,49.03660049438,49.54425888062,49.82471466065
R.Pinky_M_e_y,274.275164795,294.7622253418,294.72070922840004,296.07770538325
R.Pinky_M_e_z,-39.0736740112,-69.54783477784,-68.70912628173998,-68.11047172545
R.Pinky_M_d_x,0.5593978404998001,0.6019243836404,0.5989904284476,0.59849904477575
R.Pinky_M_d_y,-0.3199106246232001,-0.17591533362859998,-0.175256550312,-0.19717707112425
R.Pinky_M_d_z,0.6821424126626001,0.7789324760437999,0.7813375830649999,0.77644088864325
R.Pinky_P_s_x,54.818825531,49.03660049438,49.54425888062,49.82471466065
R.Pinky_P_s_y,274.275164795,294.7622253418,294.72070922840004,296.07770538325
R.Pinky_P_s_z,-39.0736740112,-69.54783477784,-68.70912628173998,-68.11047172545
R.Pinky_P_e_x,33.15258369444,24.21104621888,24.26526908874,24.177617549875002
R.Pinky_P_e_y,292.6206634522,311.25670166,310.5135986328,311.18573760975
R.Pinky_P_e_z,-37.899176025399996,-65.02309265136,-64.20346527102,-63.336498260499994
R.Pinky_P_d_x,0.7186750769613999,0.8234702944754,0.8385110497475999,0.85072104632875
R.Pinky_P_d_y,-0.6085251092912001,-0.547126185894,-0.5238544940948,-0.5011374503375001
R.Pinky_P_d_z,-0.0389584332704,-0.1500869065524,-0.1494540154936,-0.15835397318
R.Pinky_I_s_x,33.15258369444,24.21104621888,24.26526908874,24.177617549875002
R.Pinky_I_s_y,292.6206634522,311.25670166,310.5135986328,311.18573760975
R.Pinky_I_s_z,-37.899176025399996,-65.02309265136,-64.20346527102,-63.336498260499994
R.Pinky_I_e_x,32.36001701354,24.53004417418,24.31197471618,23.910766601549998
R.Pinky_I_e_y,296.9388702392,313.3244506836,312.2663513184,312.146972656
R.Pinky_I_e_z,-25.93095779418,-48.47916412351999,-47.62129211426001,-46.692379951475004
R.Pinky_I_d_x,0.0475275393576,-0.01912921275942,-0.0028007749002400004,0.0160021390766
R.Pinky_I_d_y,-0.258948150277,-0.1239958122374,-0.10510653555386,-0.057641981169575
R.Pinky_I_d_z,-0.7176930963993999,-0.992082619667,-0.9943757772446,-0.99809087812875
R.Pinky_D_s_x,32.36001701354,24.53004417418,24.31197471618,23.910766601549998
R.Pinky_D_s_y,296.9388702392,313.3244506836,312.2663513184,312.146972656
R.Pinky_D_s_z,-25.93095779418,-48.47916412351999,-47.62129211426001,-46.692379951475004
R.Pinky_D_e_x,37.7564880371,32.558956909159996,32.27257919312,31.7624297142
R.Pinky_D_e_y,296.4750671386,309.8107360838,308.7161987304,308.16307830824996
R.Pinky_D_e_z,-17.5691093445,-36.682485961919994,-35.789188385,-34.92685127257499
