,0,1,2,3,4,5,6,7,8
R.Thumb_P_d_z,0.14218527674700002,0.256919938326,0.2588781952858,0.260993951559,0.25963085293779997,0.2534556388854,0.252263748646,0.25381700992580003,0.24957294389624998
R.Thumb_I_s_x,29.794159698500003,34.38485641478,34.596855163559994,35.20574264528,36.039540863039996,36.18452911376001,36.23576126100001,36.52809524536,36.451219558725
R.Thumb_I_s_y,217.17727356,200.6468353272,200.00624694840002,199.9493286132,200.43178100580002,200.789526367,200.9971221924,201.4831726074,201.57320404025
R.Thumb_I_s_z,85.26199798578,49.937551879880004,49.8208679199,50.24589538573999,51.01181106568001,51.58179855346,51.62882690432,51.77813949584,52.154719352724996
R.Thumb_I_e_x,6.38954486848,11.506672286979999,11.724096679679999,12.357475090040001,13.597432708740001,14.10432929992,14.41090431214,14.839183998120001,14.76950860025
R.Thumb_I_e_y,230.3034423828,213.9077697752,213.155648804,212.94797058100002,213.7243652344,214.61304931639998,215.2723083496,216.06762084959996,216.26292037975
R.Thumb_I_e_z,76.57639770509999,37.77514724732,37.52827911375999,37.74913024902,38.097357177739994,38.599540710460005,38.70347518922001,38.9690940857,39.454438209550005
R.Thumb_I_d_x,0.8041018128394001,0.7860154509544,0.7858290433886,0.7849876284597999,0.7710333943368,0.7585994601246,0.7498268008232001,0.7451561927796,0.74490873515625
R.Thumb_I_d_y,-0.450969874859,-0.455599939823,-0.45176808238039995,-0.44658849239360005,-0.45668733119939997,-0.47492852211020004,-0.4904461562632,-0.5010713577274,-0.5046879351137501
R.Thumb_I_d_z,0.298407253623,0.41785824894879997,0.4223309338094,0.42934573888780003,0.4436960816386001,0.44602556228659995,0.444070506096,0.4400746285914,0.43633781373525
R.Thumb_D_s_x,6.38954486848,11.506672286979999,11.724096679679999,12.357475090040001,13.597432708740001,14.10432929992,14.41090431214,14.839183998120001,14.76950860025
R.Thumb_D_s_y,230.3034423828,213.9077697752,213.155648804,212.94797058100002,213.7243652344,214.61304931639998,215.2723083496,216.06762084959996,216.26292037975
R.Thumb_D_s_z,76.57639770509999,37.77514724732,37.52827911375999,37.74913024902,38.097357177739994,38.599540710460005,38.70347518922001,38.9690940857,39.454438209550005
R.Thumb_D_e_x,-10.745768547066001,-5.066056823729999,-4.822309207916,-4.109828186035999,-2.506772232056,-1.782801699638,-1.339437770844,-0.8762043952942001,-0.94817818701325
